epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3351.64,0.99848,0.85709,1.27783,0.81538,0.63739,0.68262,0.42634,1.52107,1.38865,1.83191,0.0072543,0.0072543,0.0072543
144,3374.94,0.99979,0.85131,1.27632,0.86021,0.65926,0.73469,0.44056,1.46302,1.23958,1.79867,0.00723496,0.00723496,0.00723496
145,3398.26,0.96628,0.81397,1.25224,0.79678,0.66651,0.70587,0.41998,1.5087,1.2997,1.83238,0.00721562,0.00721562,0.00721562
146,3421.45,0.98037,0.8133,1.26812,0.85784,0.64829,0.72384,0.43423,1.48204,1.25331,1.78394,0.00719629,0.00719629,0.00719629
147,3444.79,0.97863,0.84486,1.27735,0.82153,0.6685,0.71498,0.43414,1.48687,1.25621,1.82229,0.00717695,0.00717695,0.00717695
148,3468.43,0.98203,0.82277,1.26307,0.8548,0.63073,0.68907,0.41011,1.52662,1.37494,1.8652,0.00715762,0.00715762,0.00715762
149,3491.61,0.98248,0.83421,1.27311,0.86663,0.6514,0.71045,0.4245,1.50586,1.31451,1.81733,0.00713828,0.00713828,0.00713828
150,3515.17,0.9658,0.81055,1.26915,0.85829,0.59299,0.70129,0.42121,1.48019,1.31751,1.83404,0.00711895,0.00711895,0.00711895
151,3538.39,0.97543,0.80566,1.25336,0.83927,0.64617,0.71937,0.41961,1.55343,1.35558,1.86791,0.00709961,0.00709961,0.00709961
152,3561.61,0.96078,0.81985,1.2521,0.84342,0.68323,0.72778,0.4283,1.47687,1.23719,1.78789,0.00708027,0.00708027,0.00708027
153,3584.9,0.95797,0.7916,1.24461,0.8392,0.63118,0.69886,0.42251,1.53996,1.3228,1.87725,0.00706094,0.00706094,0.00706094
154,3608.58,0.98718,0.83408,1.26653,0.92149,0.63417,0.73204,0.44555,1.46146,1.27414,1.79212,0.0070416,0.0070416,0.0070416
155,3631.8,0.96027,0.82664,1.25964,0.84195,0.62719,0.70894,0.42768,1.49652,1.26453,1.84801,0.00702227,0.00702227,0.00702227
156,3655.4,0.95894,0.80976,1.24014,0.91954,0.64161,0.73152,0.44172,1.45865,1.27842,1.80091,0.00700293,0.00700293,0.00700293
157,3678.61,0.98371,0.83049,1.25527,0.85434,0.67124,0.7236,0.43552,1.47023,1.29898,1.79215,0.00698359,0.00698359,0.00698359
158,3701.83,0.94698,0.7983,1.2338,0.79073,0.63579,0.68748,0.41866,1.46842,1.31141,1.80587,0.00696426,0.00696426,0.00696426
159,3725.42,0.95202,0.79689,1.24018,0.84935,0.64735,0.71329,0.44314,1.46346,1.32985,1.82067,0.00694492,0.00694492,0.00694492
160,3749.03,0.972,0.81612,1.26331,0.85284,0.66536,0.72656,0.4506,1.48924,1.24591,1.819,0.00692559,0.00692559,0.00692559
161,3772.25,0.94846,0.80317,1.22653,0.81205,0.66715,0.71784,0.443,1.48832,1.24349,1.8059,0.00690625,0.00690625,0.00690625
162,3795.72,0.97828,0.80689,1.25561,0.79905,0.69635,0.74334,0.446,1.47231,1.20521,1.80802,0.00688691,0.00688691,0.00688691
163,3818.92,0.94987,0.79251,1.23244,0.83789,0.67448,0.72532,0.43996,1.48447,1.22534,1.82675,0.00686758,0.00686758,0.00686758
164,3842.16,0.94976,0.79132,1.23565,0.89497,0.67604,0.73374,0.45094,1.44126,1.17609,1.78921,0.00684824,0.00684824,0.00684824
165,3865.67,0.92965,0.76123,1.21866,0.83068,0.67879,0.71249,0.43257,1.49175,1.32302,1.84098,0.00682891,0.00682891,0.00682891
166,3889.25,0.94399,0.78309,1.23363,0.87282,0.65931,0.73212,0.44336,1.48565,1.2199,1.83757,0.00680957,0.00680957,0.00680957
167,3912.47,0.95088,0.80574,1.2347,0.86311,0.65864,0.74345,0.4534,1.44055,1.15498,1.76477,0.00679023,0.00679023,0.00679023
168,3935.69,0.93458,0.77024,1.22036,0.84998,0.63896,0.72476,0.44295,1.49116,1.24326,1.81755,0.0067709,0.0067709,0.0067709
169,3958.91,0.91915,0.7653,1.22125,0.87289,0.62654,0.70458,0.43924,1.44631,1.17068,1.76115,0.00675156,0.00675156,0.00675156
170,3982.17,0.94999,0.78106,1.24357,0.8608,0.67272,0.724,0.43657,1.50924,1.25531,1.82415,0.00673223,0.00673223,0.00673223
171,4005.5,0.91653,0.74826,1.21935,0.82766,0.66111,0.71807,0.44275,1.51819,1.27753,1.87415,0.00671289,0.00671289,0.00671289
172,4028.7,0.9299,0.77723,1.22531,0.86403,0.66588,0.72497,0.44663,1.43295,1.21044,1.78474,0.00669355,0.00669355,0.00669355
173,4051.91,0.93551,0.77684,1.225,0.89771,0.61138,0.70851,0.42601,1.51736,1.26097,1.85123,0.00667422,0.00667422,0.00667422
174,4075.1,0.9411,0.7789,1.23437,0.87597,0.60434,0.68874,0.42316,1.47912,1.30034,1.82094,0.00665488,0.00665488,0.00665488
175,4098.42,0.90642,0.75146,1.20954,0.86441,0.62331,0.705,0.42241,1.46188,1.26057,1.7862,0.00663555,0.00663555,0.00663555
176,4121.68,0.94105,0.75806,1.22106,0.92638,0.60442,0.72456,0.43763,1.45646,1.27173,1.78757,0.00661621,0.00661621,0.00661621
177,4144.89,0.94433,0.76619,1.22603,0.89899,0.63809,0.71842,0.44456,1.48011,1.27353,1.82377,0.00659688,0.00659688,0.00659688
178,4168.14,0.9155,0.76273,1.20922,0.85974,0.62861,0.70611,0.44242,1.46102,1.22565,1.79883,0.00657754,0.00657754,0.00657754
179,4191.35,0.92053,0.76915,1.21057,0.79039,0.67392,0.71318,0.44136,1.48014,1.22599,1.79546,0.0065582,0.0065582,0.0065582
180,4214.65,0.90895,0.76225,1.20369,0.83873,0.68281,0.73917,0.44965,1.48113,1.1917,1.83002,0.00653887,0.00653887,0.00653887
181,4238.25,0.89807,0.73204,1.19455,0.89124,0.65388,0.73955,0.44403,1.47917,1.17334,1.83406,0.00651953,0.00651953,0.00651953
182,4261.77,0.90345,0.74676,1.20719,0.90549,0.65174,0.74377,0.44783,1.43793,1.16249,1.79146,0.0065002,0.0065002,0.0065002
